epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1682853454222,2023-04-30T14.17.34.222,0.950,-0.009,0.013,-0.008
1682853454233,2023-04-30T14.17.34.233,0.961,0.015,-0.003,-0.015
1682853454243,2023-04-30T14.17.34.243,0.971,0.040,-0.022,-0.026
1682853454253,2023-04-30T14.17.34.253,0.981,0.050,-0.022,-0.004
1682853454263,2023-04-30T14.17.34.263,0.991,0.031,-0.004,0.018
1682853454274,2023-04-30T14.17.34.274,1.002,0.017,0.006,0.020
1682853454282,2023-04-30T14.17.34.282,1.010,0.014,0.009,0.017
1682853454293,2023-04-30T14.17.34.293,1.021,0.012,0.009,0.004
1682853454303,2023-04-30T14.17.34.303,1.031,0.021,-0.011,-0.021
1682853454313,2023-04-30T14.17.34.313,1.041,0.037,-0.018,-0.012
1682853454323,2023-04-30T14.17.34.323,1.051,0.038,0.004,0.030
1682853454334,2023-04-30T14.17.34.334,1.062,0.016,0.014,0.028
1682853454344,2023-04-30T14.17.34.344,1.072,0.009,0.016,0.025
1682853454354,2023-04-30T14.17.34.354,1.082,0.004,0.021,0.017
1682853454364,2023-04-30T14.17.34.364,1.092,0.006,0.030,0.016
1682853454375,2023-04-30T14.17.34.375,1.103,0.026,0.018,0.017
1682853454383,2023-04-30T14.17.34.383,1.111,0.035,0.014,0.009
1682853454395,2023-04-30T14.17.34.395,1.123,0.016,0.028,0.020
1682853454404,2023-04-30T14.17.34.404,1.132,-0.016,0.037,0.019
1682853454414,2023-04-30T14.17.34.414,1.142,-0.010,0.030,0.016
1682853454425,2023-04-30T14.17.34.425,1.153,0.017,0.022,0.016
1682853454435,2023-04-30T14.17.34.435,1.163,0.024,0.021,0.017
1682853454445,2023-04-30T14.17.34.445,1.173,0.023,0.015,0.009
1682853454455,2023-04-30T14.17.34.455,1.183,0.019,0.011,-0.005
1682853454466,2023-04-30T14.17.34.466,1.194,0.021,0.020,0.008
1682853454476,2023-04-30T14.17.34.476,1.204,0.024,0.028,0.027
1682853454486,2023-04-30T14.17.34.486,1.214,0.012,0.034,0.025
1682853454495,2023-04-30T14.17.34.495,1.223,-0.007,0.032,0.012
1682853454505,2023-04-30T14.17.34.505,1.233,-0.002,0.029,0.008
1682853454515,2023-04-30T14.17.34.515,1.243,0.022,0.022,0.012
1682853454526,2023-04-30T14.17.34.526,1.254,0.024,0.015,0.017
1682853454536,2023-04-30T14.17.34.536,1.264,0.020,0.021,0.028
1682853454546,2023-04-30T14.17.34.546,1.274,0.028,0.019,0.043
1682853454556,2023-04-30T14.17.34.556,1.284,0.031,0.023,0.050
1682853454567,2023-04-30T14.17.34.567,1.295,0.033,0.027,0.057
1682853454577,2023-04-30T14.17.34.577,1.305,0.031,0.026,0.045
1682853454587,2023-04-30T14.17.34.587,1.315,0.018,0.022,0.026
1682853454597,2023-04-30T14.17.34.597,1.325,0.021,0.028,0.038
1682853454606,2023-04-30T14.17.34.606,1.334,0.025,0.024,0.037
1682853454616,2023-04-30T14.17.34.616,1.344,0.026,0.026,0.033
1682853454627,2023-04-30T14.17.34.627,1.355,0.026,0.022,0.017
1682853454638,2023-04-30T14.17.34.638,1.366,0.023,0.014,0.009
1682853454647,2023-04-30T14.17.34.647,1.375,0.027,0.021,0.025
1682853454657,2023-04-30T14.17.34.657,1.385,0.032,0.016,0.022
1682853454668,2023-04-30T14.17.34.668,1.396,0.034,0.014,0.021
1682853454678,2023-04-30T14.17.34.678,1.406,0.025,0.021,0.029
1682853454688,2023-04-30T14.17.34.688,1.416,0.023,0.014,0.026
1682853454698,2023-04-30T14.17.34.698,1.426,0.020,0.001,-0.003
1682853454709,2023-04-30T14.17.34.709,1.437,0.006,0.010,-0.001
1682853454719,2023-04-30T14.17.34.719,1.447,-0.009,0.028,0.011
1682853454728,2023-04-30T14.17.34.728,1.456,0.005,0.019,0.008
1682853454738,2023-04-30T14.17.34.738,1.466,0.037,0.001,0.011
1682853454748,2023-04-30T14.17.34.748,1.476,0.023,0.009,0.025
1682853454758,2023-04-30T14.17.34.758,1.486,0.004,0.021,0.020
1682853454769,2023-04-30T14.17.34.769,1.497,0.006,0.016,0.012
1682853454779,2023-04-30T14.17.34.779,1.507,0.023,0.006,0.010
1682853454789,2023-04-30T14.17.34.789,1.517,0.024,0.008,0.015
1682853454800,2023-04-30T14.17.34.800,1.528,0.022,0.008,0.015
1682853454810,2023-04-30T14.17.34.810,1.538,0.017,0.006,0.010
1682853454820,2023-04-30T14.17.34.820,1.548,0.014,0.011,0.014
1682853454829,2023-04-30T14.17.34.829,1.557,0.021,0.007,0.009
1682853454839,2023-04-30T14.17.34.839,1.567,0.011,-0.001,-0.005
1682853454849,2023-04-30T14.17.34.849,1.577,0.005,0.004,-0.006
1682853454860,2023-04-30T14.17.34.860,1.588,0.003,0.010,0.005
1682853454870,2023-04-30T14.17.34.870,1.598,0.016,0.009,0.009
1682853454880,2023-04-30T14.17.34.880,1.608,0.027,0.008,0.025
1682853454890,2023-04-30T14.17.34.890,1.618,0.032,0.009,0.033
1682853454901,2023-04-30T14.17.34.901,1.629,0.023,0.001,0.017
1682853454911,2023-04-30T14.17.34.911,1.639,0.014,0.005,0.012
1682853454921,2023-04-30T14.17.34.921,1.649,0.012,0.003,-0.002
